date,Open,Q,H,Close,Volume,Close_time,Qoute_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
1636760100000,64055.22000000,64070.94000000,63942.40000000,63987.14000000,0.30934200,1636760399999,19801.34043049,67,0.28886500,18489.87540664,0
1636760400000,64000.00000000,64031.76000000,63825.86000000,63825.86000000,0.77411400,1636760699999,49507.37492268,150,0.66730800,42688.33229617,0
1636760700000,63822.14000000,64029.16000000,63822.14000000,64029.16000000,1.12241700,1636760999999,71782.92585485,207,1.11201400,71116.92577925,0
1636761000000,64028.01000000,64337.00000000,64010.12000000,64240.72000000,1.18650100,1636761299999,76120.74289020,249,1.16173600,74529.98727966,0
1636761300000,64240.72000000,64364.19000000,64114.66000000,64125.44000000,0.61226600,1636761599999,39353.32852280,149,0.60027600,38582.64989453,0
1636761600000,64122.23000000,64398.08000000,64118.82000000,64364.00000000,1.18843400,1636761899999,76392.89398325,230,1.16481400,74876.58447706,0
1636761900000,64385.68000000,64429.01000000,64254.91000000,64275.81000000,1.38458400,1636762199999,89151.27185331,247,1.04283500,67135.17142210,0
1636762200000,64282.64000000,64356.24000000,64243.70000000,64343.00000000,0.74325900,1636762499999,47801.02874144,139,0.73948000,47558.01953885,0
1636762500000,64336.04000000,64397.19000000,64305.04000000,64311.47000000,0.73346400,1636762799999,47214.59834612,123,0.46655800,30027.41863160,0
1636762800000,64318.27000000,64327.62000000,64250.46000000,64250.48000000,0.36191200,1636763099999,23270.65114862,68,0.34370200,22099.55615784,0
1636763100000,64250.00000000,64300.10000000,64250.00000000,64296.24000000,0.65349400,1636763399999,42002.16352436,101,0.48954900,31466.53792689,0
1636763400000,64295.07000000,64399.80000000,64295.07000000,64343.08000000,0.60868800,1636763699999,39165.67730653,105,0.59203200,38094.30241261,0
1636763700000,64345.01000000,64394.99000000,64337.02000000,64376.80000000,0.53861300,1636763999999,34666.19128158,85,0.42093300,27093.98346984,0
1636764000000,64373.44000000,64404.99000000,64340.59000000,64340.59000000,0.63333900,1636764299999,40776.71477939,113,0.60393300,38883.16137300,0
1636764300000,64343.81000000,64376.00000000,64341.24000000,64376.00000000,0.48296500,1636764599999,31084.54381523,79,0.47438900,30532.60122385,0
1636764600000,64380.93000000,64382.94000000,64322.23000000,64322.23000000,0.55436500,1636764899999,35674.22845476,89,0.40559100,26099.28550949,0
1636764900000,64308.39000000,64356.41000000,64255.91000000,64351.94000000,0.66919000,1636765199999,43029.29974582,112,0.66480600,42747.49245806,0
