Open_time,Open,High,Close,Volume,Close_time,Qoute_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
1633248000000,47895.99000000,69000.00000000,36902.90000000,47824.00000000,46.35866500,1633251599999,2144053.23163670,5344,29.67382500,1371566.67522330,0
1633251600000,47824.00000000,57826.58000000,42270.20000000,48206.33000000,62.22126100,1633255199999,2970701.52153658,7263,34.32751000,1640977.88648822,0
1633255200000,48206.33000000,57826.58000000,42270.20000000,47812.32000000,46.25142100,1633258799999,2205323.89325260,5369,25.05831200,1202826.53577115,0
1633258800000,47810.95000000,54200.00000000,42130.38000000,47974.86000000,40.37447400,1633262399999,1933411.34721156,5300,23.55569000,1129861.96812362,0
1633262400000,47974.87000000,48088.56000000,47816.90000000,47965.17000000,27.24177400,1633265999999,1306747.33081060,4202,16.66651300,799432.90266718,0
1633266000000,47964.82000000,48440.42000000,47817.84000000,48053.50000000,33.26089800,1633269599999,1597031.03123272,4831,21.04363600,1010416.32547467,0
1633269600000,48053.50000000,48104.68000000,47894.39000000,47954.51000000,22.05997900,1633273199999,1058745.47144112,3964,14.93240500,716631.20369332,0
1633273200000,47956.14000000,55294.94000000,43975.63000000,47879.05000000,39.63546900,1633276799999,1888036.91237989,6084,25.38026200,1210006.29620150,0
1633276800000,47878.82000000,100000.00000000,44216.78000000,48030.24000000,35.47231100,1633280399999,1690895.72223532,5229,23.15328900,1104132.41720994,0
1633280400000,48033.38000000,57826.58000000,47700.00000000,48910.53000000,29.55584400,1633283999999,1427640.97437927,5353,20.57250000,993942.56141124,0
1633284000000,48910.23000000,54282.28000000,48197.57000000,48822.78000000,27.09263400,1633287599999,1326058.26444138,5227,21.13934300,1033678.24241405,0
1633287600000,48822.79000000,48950.47000000,48725.01000000,48778.04000000,13.84113700,1633291199999,676418.55815115,3536,10.69975200,522863.12019892,0
1633291200000,48778.04000000,48870.01000000,44918.45000000,48424.00000000,20.95803400,1633294799999,1016732.32932567,4278,14.50691600,705997.35721895,0
1633294800000,48428.30000000,48452.31000000,44918.45000000,47759.31000000,18.42416300,1633298399999,882488.58664104,4416,17.11398300,819983.03556795,0
1633298400000,47751.43000000,48777.02000000,47446.84000000,47981.22000000,20.32312000,1633301999999,976284.59041098,4326,16.34168600,785029.14037085,0
1633302000000,47983.62000000,48314.93000000,47869.51000000,48202.74000000,17.23064100,1633305599999,829198.37584414,3944,14.29179000,687764.45036860,0
1633305600000,48200.01000000,48280.72000000,47857.96000000,47873.79000000,18.80392200,1633309199999,903600.72986864,3808,15.49935100,744760.15452637,0
1633309200000,47841.42000000,48171.56000000,47500.00000000,47799.69000000,13.95273000,1633312799999,668312.64412680,2010,13.82233000,662080.39902181,0
1633312800000,47766.57000000,47879.96000000,47581.53000000,47680.78000000,13.68733100,1633316399999,653451.29687577,1941,13.44152700,641707.91275587,0
1633316400000,47676.28000000,47776.23000000,47193.67000000,47464.41000000,14.93736000,1633319999999,710843.83828895,2118,14.71720200,700383.80965548,0
1633320000000,47450.00000000,48044.63000000,44918.45000000,47749.21000000,17.77488900,1633323599999,845239.80091192,2546,16.66318600,792747.47446126,0
1633323600000,47751.99000000,47868.91000000,47718.71000000,47777.51000000,10.40333000,1633327199999,497134.71458655,1476,9.72021600,464499.03167076,0
1633327200000,47777.06000000,47812.84000000,47554.38000000,47715.33000000,12.55207600,1633330799999,598439.24599601,1771,12.31896200,587331.93254649,0
1633330800000,47692.28000000,47845.12000000,47487.18000000,47845.12000000,14.12904400,1633334399999,674156.90124394,1887,12.49142400,596007.64714017,0
1633334400000,47838.54000000,47937.45000000,46538.80000000,47656.53000000,14.14725700,1633337999999,674606.06395047,2011,13.40785600,639283.59533693,0
1633338000000,47647.46000000,47753.62000000,43907.30000000,47732.22000000,12.55408700,1633341599999,593273.47799096,1709,11.34647100,537546.90561093,0
1633341600000,47722.47000000,47760.00000000,47493.01000000,47624.96000000,12.21472500,1633345199999,581555.14892040,1687,11.38761300,542130.36316090,0
1633345200000,47622.93000000,47678.62000000,47365.75000000,47579.17000000,12.48526500,1633348799999,593279.87201977,1875,12.33437700,586107.73237101,0
1633348800000,47581.87000000,47815.15000000,47450.01000000,47716.19000000,14.83285900,1633352399999,707188.12827917,2146,13.80637200,658209.94903546,0
1633352400000,47707.38000000,48103.99000000,47686.73000000,48103.99000000,18.30517500,1633355999999,875571.43558804,2702,18.14620900,867972.24107113,0
1633356000000,48120.78000000,48477.61000000,44000.00000000,47451.69000000,26.05289600,1633359599999,1246388.70787740,3904,24.24853300,1161126.38076141,0
1633359600000,47442.20000000,48052.87000000,43907.30000000,47788.99000000,21.77773500,1633363199999,1033000.50395761,3206,21.17452600,1004701.11205251,0
1633363200000,47753.94000000,50000.00000000,43907.30000000,48588.23000000,25.59488700,1633366799999,1231231.35264272,3452,22.13118600,1071467.41922592,0
1633366800000,48590.00000000,51244.30000000,43499.40000000,49287.33000000,22.51964700,1633370399999,1093161.36478521,3242,20.82246400,1015561.58480305,0
1633370400000,49293.90000000,57826.58000000,48000.00000000,49314.15000000,20.44242600,1633373999999,1008019.60354604,3057,19.24532800,948736.72329005,0
